point_latitude,point_longitude,percentage_averted(%)
41.1025,121.0619,22.357901332866053
35.2931,116.3467,0.23654937106040672
46.1947,122.0083,35.278863437648404
49.2086,119.8167,44.93420783648309
30.5786,103.9472,8.063811769781228
34.2294,117.2458,26.25369724278578
29.4786,115.8022,7.338718527094359
41.5414,120.4339,20.798347957747282
42.8408,93.6708,23.81282389733294
39.1244,117.3461,12.78665038235413
28.8003,104.545,11.46134812925542
29.7194,106.6419,12.170357052399694
29.3167,100.06,24.635328736380348
36.6469,119.1186,5.740634119716692
37.1872,122.2289,4.882838930020921
27.8111,107.2461,12.076777822485449
39.7194,117.9933,5.581240606748018
32.8567,103.6831,3.611481994345451
30.8039,108.4272,15.890276208973365
46.8433,130.4653,46.954797453951045
26.2572,105.8728,15.717294228528775
42.065,127.6025,10.149777873577653
40.0922,94.6817,11.704035210387993
27.8033,114.3078,1.1345591811321052
29.3519,89.31,24.885592982463866
36.5167,103.6167,3.3909177925222433
27.7069,118.0031,26.674385524534273
23.4567,111.2481,4.2403520120174925
31.4947,120.4294,9.41192253414583
39.7925,106.7994,4.880796125724278
34.4478,108.7539,7.707198337938959
39.4922,109.8631,7.460236305470863
38.4933,106.0119,13.024963067866702
41.2628,80.2919,3.8633752663776146
37.5078,118.7894,28.313558237449506
32.1506,112.2908,5.34718382951767
25.0536,99.1681,2.857081827071306
40.5606,109.9964,16.66801264793795
43.4233,112.0911,18.9283241069022
45.6233,126.2503,8.084432961896026
30.3211,109.4853,13.992937727309766
23.4275,116.7625,3.8215674412264318
30.5511,97.1106,31.70033224485826
36.0789,106.2164,12.258736687054872
43.5575,122.2,19.26808514720534
36.4006,94.7883,35.27701832616283
29.9347,122.3619,17.08043426138837
18.3028,109.4122,10.003641261937153
47.7514,129.0178,43.62136812069001
26.6742,100.2436,5.738328849487162
25.935,119.6633,2.1827949859422664
27.7917,99.6781,25.841909120172023
37.4017,121.3717,12.503312974061137
43.9072,87.4742,11.196612734072918
34.5719,118.8739,37.3999663195581
34.7414,112.3894,16.580690141959547
35.0494,118.4119,8.708144539179866
37.0381,79.865,18.957661669559382
38.27,109.7306,23.793833637042834
25.6503,100.3194,17.149502789122046
24.7956,118.5881,10.506130417308716
32.8267,97.1219,58.06465053945799
36.2661,120.3744,11.55985934936959
38.5419,102.3486,17.890694234747766
29.5147,108.8317,25.364269381620613
38.9656,121.5386,11.915479181219819
29.3058,94.3386,4.90895172287579
24.2078,109.3914,3.546879728074323
21.9731,100.7631,9.369249574221072
27.9892,102.1844,17.820944912629404
30.5569,111.4797,4.451011791260489
29.345,120.0325,12.773634074133126
29.1044,110.4431,23.02880424765631
31.4289,104.7408,1.6956342647181388
41.1056,122.8561,6.614027535923003
29.8267,121.4619,8.948125642928812
36.5258,114.425,13.933810660710105
32.0997,80.0533,16.302053126087458
39.9678,119.7292,24.499242999104773
31.1433,121.8053,8.936945734150383
41.6397,123.4833,7.829414996239765
24.4014,98.5322,11.594181364480736
23.7389,100.025,28.699242426061737
26.54,101.7981,7.49103094835928
27.3258,103.7547,0.7105420030474238
40.08,116.5844,7.601724750502075
24.9378,98.4856,12.526181912747328
30.7403,117.6867,12.49887417472791
28.9672,118.9,19.528111944998447
46.6728,83.3411,3.084254810845376
39.8572,98.3414,23.089656691699155
40.0256,124.2869,13.558910372267489
40.8514,111.8242,13.98502551227619
24.5442,118.1278,11.730017947542548
45.4661,84.9539,28.87058498892036
32.9811,112.6156,6.340573203042636
50.1717,127.3094,22.448306421168464
28.5653,121.4303,1.3047916224747576
29.3392,117.1764,17.033412431217688
44.5242,129.5689,16.201803555617776
25.0856,104.9594,21.062271932867038
31.9911,116.9892,8.599346540135997
36.5286,102.0403,21.311757768165286
38.2806,114.6972,5.598906561146736
42.8828,129.4514,16.120928264506222
33.4261,120.2031,17.50886620390452
29.7328,118.2572,17.707169471641034
30.1447,101.7378,46.85931997537073
31.7419,118.8619,13.51423156327697
24.2642,116.0983,4.714962179050567
32.0722,120.9803,9.827391645337585
33.7875,119.1278,19.783396611410144
21.5394,109.2939,24.793825616485147
27.3006,105.3017,28.78322117702421
37.7469,112.6283,3.7873339437140845
32.8808,115.7336,3.5930693411021966
23.3925,113.2989,6.19476365053566
28.1936,113.2178,3.209761290001362
30.2294,120.4344,6.894667896164626
24.9922,102.7436,8.604233917821945
26.5386,106.8008,13.400543248130548
25.2181,110.0392,11.906181269388663
23.5581,104.3256,16.315589062970744
27.9131,120.8522,9.198632577380389
25.6756,116.7456,30.339678164849964
43.9156,115.9633,20.336179364971592
21.2153,110.3583,2.2875121847265434
22.6083,108.1725,6.415803756054015
30.5825,117.0503,2.7007119400571704
28.8639,115.9022,12.792234095202467
22.3089,113.9147,9.447970107468544
19.9347,110.4589,9.564372503574276
36.8572,117.2161,11.289901728181281
25.4483,107.9608,14.942129371913616
35.1164,111.0336,4.142386623456161
34.5194,113.8411,4.044017539384695
28.9186,111.6408,9.914658015096427
43.9961,125.6853,16.447049930055037
42.16,118.8408,8.27347767095319
36.2475,113.1258,14.337520925817637
39.7189,113.1461,13.23001786942688
31.1319,107.4306,17.919102492983534
47.2397,123.9181,20.296204857587156
