date,r=0.75_TR=90_median,r=0.75_TR=90_lower,r=0.75_TR=90_upper,r=0.75_TR=40_median,r=0.75_TR=40_lower,r=0.75_TR=40_upper
2019/12/31,0.00,0.00,2.00,0.00,0.00,2.00
2020/01/01,0.00,0.00,2.00,0.00,0.00,2.00
2020/01/02,0.00,0.00,2.00,0.00,0.00,2.00
2020/01/03,1.00,0.00,2.00,1.00,0.00,2.00
2020/01/04,1.00,0.00,2.00,1.00,0.00,2.00
2020/01/05,1.00,0.00,3.00,1.00,0.00,3.00
2020/01/06,1.00,0.00,3.00,1.00,0.00,3.00
2020/01/07,1.00,0.00,3.00,1.00,0.00,3.00
2020/01/08,1.00,0.00,4.00,1.00,0.00,4.00
2020/01/09,2.00,0.00,4.00,2.00,0.00,4.00
2020/01/10,2.00,0.00,4.00,2.00,0.00,5.00
2020/01/11,2.00,0.00,5.00,2.00,0.00,5.00
2020/01/12,3.00,1.00,6.00,3.00,1.00,6.00
2020/01/13,3.00,1.00,7.00,3.00,1.00,7.00
2020/01/14,4.00,1.00,8.00,4.00,1.00,8.00
2020/01/15,4.00,1.00,9.00,4.00,1.00,9.00
2020/01/16,5.00,2.00,10.00,5.00,2.00,10.00
2020/01/17,6.00,2.00,12.00,6.00,2.00,12.00
2020/01/18,7.00,2.00,14.00,7.00,2.00,14.00
2020/01/19,8.00,3.00,16.00,8.00,3.00,16.00
2020/01/20,9.00,3.00,18.00,9.00,3.00,18.00
2020/01/21,11.00,4.00,21.00,11.00,4.00,21.00
2020/01/22,12.00,5.00,24.00,12.00,5.00,24.00
2020/01/23,2.00,0.00,7.00,2.00,0.00,7.00
2020/01/24,3.00,0.00,8.00,3.00,0.00,8.00
2020/01/25,3.00,0.00,9.00,3.00,0.00,9.00
2020/01/26,4.00,0.00,10.00,4.00,0.00,10.00
2020/01/27,4.00,1.00,11.00,4.00,1.00,11.00
2020/01/28,4.00,1.00,12.00,4.00,1.00,12.00
2020/01/29,5.00,1.00,13.00,5.00,1.00,13.00
2020/01/30,5.00,1.00,14.00,5.00,1.00,14.00
2020/01/31,6.00,1.00,15.00,6.00,1.00,15.00
2020/02/01,0.00,0.00,3.00,4.00,0.00,11.00
2020/02/02,1.00,0.00,3.00,4.00,1.00,12.00
2020/02/03,1.00,0.00,3.00,5.00,1.00,13.00
2020/02/04,1.00,0.00,3.00,5.00,1.00,14.00
2020/02/05,1.00,0.00,3.00,6.00,1.00,15.00
2020/02/06,1.00,0.00,4.00,6.00,1.00,17.00
2020/02/07,1.00,0.00,4.00,7.00,1.00,18.00
2020/02/08,1.00,0.00,4.00,8.00,2.00,20.00
2020/02/09,1.00,0.00,5.00,8.00,2.00,22.00
2020/02/10,1.00,0.00,5.00,9.00,2.00,25.00
2020/02/11,2.00,0.00,5.00,10.00,2.00,27.00
2020/02/12,2.00,0.00,6.00,11.00,3.00,30.00
2020/02/13,2.00,0.00,7.00,12.00,3.00,33.00
2020/02/14,2.00,0.00,7.00,13.00,4.00,37.00
2020/02/15,2.00,0.00,8.00,15.00,4.00,40.00
2020/02/16,3.00,0.00,9.00,16.00,4.00,45.00
2020/02/17,3.00,0.00,9.00,18.00,5.00,50.00
2020/02/18,3.00,0.00,10.00,20.00,5.00,55.00
2020/02/19,4.00,0.00,11.00,22.00,6.00,61.00
2020/02/20,4.00,0.00,12.00,24.00,7.00,68.00
2020/02/21,4.00,0.00,14.00,26.00,7.00,74.00
2020/02/22,5.00,1.00,15.00,29.00,8.00,82.00
2020/02/23,5.00,1.00,17.00,32.00,9.00,91.00
2020/02/24,6.00,1.00,18.00,35.00,10.00,101.00
2020/02/25,6.00,1.00,20.00,39.00,11.00,113.00
2020/02/26,7.00,1.00,22.00,42.00,12.00,124.00
2020/02/27,8.00,1.00,24.00,47.00,13.00,138.00
2020/02/28,9.00,2.00,27.00,52.00,14.00,152.00
2020/02/29,10.00,2.00,30.00,57.00,15.00,170.00
2020/03/01,11.00,2.00,34.00,64.00,17.00,193.00
