date,r=0.5_TR=90_median,r=0.5_TR=90_lower,r=0.5_TR=90_upper,r=0.5_TR=40_median,r=0.5_TR=40_lower,r=0.5_TR=40_upper
2019/12/31,0.00,0.00,2.00,0.00,0.00,2.00
2020/01/01,0.00,0.00,2.00,0.00,0.00,2.00
2020/01/02,0.00,0.00,2.00,0.00,0.00,2.00
2020/01/03,1.00,0.00,2.00,1.00,0.00,2.00
2020/01/04,1.00,0.00,2.00,1.00,0.00,2.00
2020/01/05,1.00,0.00,3.00,1.00,0.00,3.00
2020/01/06,1.00,0.00,3.00,1.00,0.00,3.00
2020/01/07,1.00,0.00,3.00,1.00,0.00,3.00
2020/01/08,1.00,0.00,4.00,1.00,0.00,4.00
2020/01/09,2.00,0.00,4.00,2.00,0.00,4.00
2020/01/10,2.00,0.00,5.00,2.00,0.00,5.00
2020/01/11,2.00,0.00,5.00,2.00,0.00,5.00
2020/01/12,3.00,1.00,6.00,3.00,1.00,6.00
2020/01/13,3.00,1.00,7.00,3.00,1.00,7.00
2020/01/14,4.00,1.00,8.00,4.00,1.00,8.00
2020/01/15,4.00,1.00,9.00,4.00,1.00,9.00
2020/01/16,5.00,2.00,10.00,5.00,2.00,11.00
2020/01/17,6.00,2.00,12.00,6.00,2.00,12.00
2020/01/18,7.00,2.00,14.00,7.00,2.00,14.00
2020/01/19,8.00,3.00,16.00,8.00,3.00,16.00
2020/01/20,9.00,3.00,18.00,9.00,3.00,18.00
2020/01/21,11.00,4.00,21.00,11.00,4.00,21.00
2020/01/22,12.00,5.00,24.00,12.00,5.00,24.45
2020/01/23,2.00,0.00,7.00,2.00,0.00,7.00
2020/01/24,3.00,0.00,8.00,3.00,0.00,8.00
2020/01/25,3.00,0.00,9.00,3.00,0.00,9.00
2020/01/26,3.00,0.00,9.00,3.00,0.00,9.00
2020/01/27,3.00,0.00,10.00,3.00,0.00,9.00
2020/01/28,4.00,0.00,10.00,4.00,0.00,10.00
2020/01/29,4.00,0.00,10.00,4.00,0.00,10.00
2020/01/30,4.00,1.00,10.00,4.00,0.00,10.00
2020/01/31,4.00,1.00,11.00,4.00,1.00,11.00
2020/02/01,0.00,0.00,2.00,2.00,0.00,7.00
2020/02/02,0.00,0.00,2.00,2.00,0.00,7.00
2020/02/03,0.00,0.00,2.00,3.00,0.00,8.00
2020/02/04,0.00,0.00,2.00,3.00,0.00,8.00
2020/02/05,0.00,0.00,2.00,3.00,0.00,8.00
2020/02/06,0.00,0.00,2.00,3.00,0.00,8.00
2020/02/07,0.00,0.00,2.00,3.00,0.00,9.00
2020/02/08,0.00,0.00,2.00,3.00,0.00,9.00
2020/02/09,0.00,0.00,2.00,3.00,0.00,9.00
2020/02/10,0.00,0.00,2.00,3.00,0.00,10.00
2020/02/11,0.00,0.00,2.00,3.00,0.00,10.00
2020/02/12,0.00,0.00,3.00,3.00,0.00,10.00
2020/02/13,0.00,0.00,3.00,4.00,0.00,11.00
2020/02/14,0.00,0.00,3.00,4.00,0.00,11.00
2020/02/15,0.00,0.00,3.00,4.00,0.00,11.00
2020/02/16,1.00,0.00,3.00,4.00,0.00,12.00
2020/02/17,1.00,0.00,3.00,4.00,1.00,12.00
2020/02/18,1.00,0.00,3.00,4.00,0.00,13.00
2020/02/19,1.00,0.00,3.00,4.00,1.00,13.00
2020/02/20,1.00,0.00,3.00,5.00,1.00,14.00
2020/02/21,1.00,0.00,3.00,5.00,1.00,14.00
2020/02/22,1.00,0.00,3.00,5.00,1.00,15.00
2020/02/23,1.00,0.00,3.00,5.00,1.00,15.00
2020/02/24,1.00,0.00,3.00,5.00,1.00,16.00
2020/02/25,1.00,0.00,4.00,5.00,1.00,16.00
2020/02/26,1.00,0.00,4.00,6.00,1.00,17.00
2020/02/27,1.00,0.00,4.00,6.00,1.00,17.00
2020/02/28,1.00,0.00,4.00,6.00,1.00,18.00
2020/02/29,1.00,0.00,4.00,6.00,1.00,19.00
2020/03/01,1.00,0.00,4.00,7.00,1.00,20.00
